2	1	5	4	5	5	3	3	0	1	1	7	3.0833333333333335
1	1	5	5	5	5	3	5	2	1	1	7	1
2	1	3	5	1	5	2	3	1	2	3	7	1
2	5	1	2	6	5	1	4	2	3	1	7	1
2	5	1	2	6	3	1	4	2	3	1	7	1
1	1	6	4	8	5	3	2	0	1	1	7	1
1	5	2	3	9	4	1	3	1	2	3	7	1
1	3	3	4	3	5	1	1	0	2	3	7	1
1	1	6	3	8	5	3	3	0	2	3	7	1
1	1	7	4	8	4	3	2	0	2	3	7	1
1	5	2	4	9	5	1	1	0	2	3	7	1
2	2	2	3	2	5	1	2	0	1	1	5	1
2	1	3	6	6	2	2	4	2	1	1	7	1
2	1	5	3	5	5	3	4	0	2	1	7	1
1	4	6	3	8.0	5	1	1	0	1	1	7	1.0
2	1	5	4	1	5	2	2	2	1	1	7	1
2	3	3	3	2	2	1	2	1	2	3	7	1
2	1	5	5	1	5	2	2	0	1	1	7	2.6666666666666665
2	1	5	3	5	1	3	2	0	2	3	7	1
1	5	1	2	9	4.0	1	4	2	3	1	7	1
1	3	4	2	3	4	1	2	0	2	3	7	1
2	1	4	4	2	5	3	5	3	1	1	5	2
1	1	4	4	1	5	3	5	3	1	1	7	1
2	3	5	4	2	3	1	3	0	2	5	7	1
2	5	1	2	6	5	1	4	1	3	1	7	1
1	1	3	5	1	5	2	3	1	2	3	7	1
1	1	4	4	1	5	2	3	0	1	1	7	1
1	1	4	4	1	5	2	3	1	1	1	7	1
1	1	4	6	1	5.0	2	3	1	1	1	7	1
2	3	7	3	8	5	1	1	0	1	5	7	1
2	3	4	5	1	4	1	5	3	1	1	7	1
2	1	4	4	1	4	2	4	2	2	1	7	1
2	5	1	2	6	5	1	4	2	3	1	7	1
2	5	1	2	6	5	1	3	1	3	1	7	1
1	5	1	2	6	5	1	6	4	3	1	7	1
2	1	4	4	5	4.333333333333333	3	6	4	1	1	7	1
2	1	7	3	5	5	3	2	0	1	1	7	1
2	1	4	3	5	1	3	3	1	1	1	7	1
1	1	5	6	1	5	2	4	0	1	1	7	1
2	3	4	5	1	3	1	2	1	2	3	2	3
2	4	6	6	1	1	1	1	0	2	3	7	1
1	5	1	2	6	5	1	5	2	3	1	7	1
2	1	4	4	1	5	2	5	3	1	1	7	1
2	1	5	4	5	5	3	3	0	1	1	7	1
2	5	2	2	6	2	1	3	0	3	1	3	1
2	1	6	4	2	5	2	4	2	2	1	7	1
